sequence,bean_label,grind_setting,grind_macro,grind_micro,grind_duration_s,grinder_output_g,dose_correction_mode,puck_dose_g,brew_duration_s,final_yield_g,transcription_status,source_region,notes
1,cafe_intencion_espresso_intensivo,2I,2,I,10.1,18.4,TO_TARGET,18.0,35,35.6,ok,left_table,
2,cafe_intencion_espresso_intensivo,2I,2,I,10.1,17.8,TO_TARGET,18.0,34,35.8,ok,left_table,Grind duration supplied by user after the initial transcription.
3,cafe_intencion_espresso_intensivo,2I,2,I,10.7,17.5,TO_TARGET,18.0,43,39.6,ok,left_table,
4,cafe_intencion_espresso_intensivo,2I,2,I,10.7,18.6,TO_TARGET,18.0,47,35.7,ok,left_table,
5,cafe_intencion_espresso_intensivo,3A,3,A,10.0,16.76,TO_TARGET,18.0,48,36.5,ok,left_table,
6,cafe_intencion_espresso_intensivo,3F,3,F,10.0,17.93,TO_TARGET,18.0,48,34.2,ok,left_table,
7,cafe_intencion_espresso_intensivo,3I,3,I,10.0,19.56,TO_TARGET,18.0,30,35.43,ok,left_table,
8,cafe_intencion_espresso_intensivo,3I,3,I,9.9,19.5,TO_TARGET,18.0,26,36.2,ok,left_table,
9,cafe_intencion_espresso_intensivo,3I,3,I,9.8,19.6,TO_TARGET,18.0,28,43.0,ok,left_table,
10,cafe_intencion_espresso_intensivo,3H,3,H,9.7,18.6,TO_TARGET,18.0,28,37.7,ok,left_table,
11,cafe_intencion_espresso_intensivo,3H,3,H,9.7,17.9,TO_TARGET,18.0,27,36.0,ok,left_table,
12,cafe_intencion_espresso_intensivo,3H,3,H,9.7,18.3,TO_TARGET,18.0,32,36.0,ok,left_table,
13,cafe_intencion_espresso_intensivo,3H,3,H,9.7,18.2,TO_TARGET,18.0,25,36.3,ok,left_table,
14,cafe_intencion_espresso_intensivo,3H,3,H,9.7,,UNKNOWN,18.0,26,36.0,partial,left_table,Grinder-output mass is absent or illegible in the source.
15,cafe_intencion_espresso_intensivo,3F,3,F,9.7,18.3,TO_TARGET,18.0,24,38.6,ok,left_table,
16,cafe_intencion_espresso_intensivo,3G,3,G,9.7,18.45,TO_TARGET,18.0,25,36.0,ok,left_table,
17,cafe_intencion_espresso_intensivo,3G,3,G,9.65,19.27,TO_TARGET,18.0,24,37.0,ok,left_table,
18,cafe_intencion_espresso_intensivo,3E,3,E,9.65,16.74,TO_TARGET,18.0,31,36.4,ok,left_table,
19,cafe_intencion_espresso_intensivo,3E,3,E,10.0,18.68,TO_TARGET,18.0,26,37.0,ok,left_table,
20,cafe_intencion_espresso_intensivo,3D,3,D,10.0,17.6,TO_TARGET,18.0,31,36.77,ok,left_table,
21,cafe_intencion_espresso_intensivo,3D,3,D,10.0,19.46,TO_TARGET,18.0,49,38.76,ok,left_table,
22,cafe_intencion_espresso_intensivo,3D,3,D,9.9,19.6,TO_TARGET,18.0,46,34.3,ok,left_table,
23,cafe_intencion_espresso_intensivo,3E,3,E,9.65,19.45,TO_TARGET,18.0,28,36.01,ok,left_table,
24,cafe_intencion_espresso_intensivo,3E,3,E,9.65,17.81,TO_TARGET,18.0,32,37.65,ok,left_table,
25,cafe_intencion_espresso_intensivo,3E,3,E,9.65,18.34,TO_TARGET,18.0,38,36.0,ok,left_table,
26,cafe_intencion_espresso_intensivo,3E,3,E,9.65,18.18,TO_TARGET,18.0,,,partial,left_table,Brew duration and final yield are not recorded on this row.
27,cafe_intencion_espresso_intensivo,3E,3,E,9.65,19.0,TO_TARGET,18.0,34,37.49,ok,left_table,
28,cafe_intencion_espresso_intensivo,3E,3,E,9.65,19.0,TO_TARGET,18.0,29,36.64,ok,left_table,Grind duration and grinder output supplied by user after the initial transcription.
29,cafe_intencion_espresso_intensivo,3E,3,E,10.65,19.35,TO_TARGET,18.0,28,35.97,ok,right_upper,Grind duration supplied by user after the initial transcription.
30,cafe_intencion_espresso_intensivo,3E,3,E,9.5,17.89,TO_TARGET,18.0,37,36.0,ok,right_upper,
31,cafe_intencion_espresso_intensivo,3E,3,E,9.5,18.37,TO_TARGET,18.0,35,36.3,ok,right_upper,
32,cafe_intencion_espresso_intensivo,3E,3,E,9.4,17.96,TO_TARGET,18.0,37,38.0,ok,right_upper,
33,cafe_intencion_espresso_intensivo,3E,3,E,9.4,18.76,TO_TARGET,18.0,,,partial,right_upper,Grind setting and duration supplied by user after the initial transcription; brew duration and final yield are not recorded.
34,cafe_intencion_espresso_intensivo,3E,3,E,9.4,17.66,TO_TARGET,18.0,36,35.77,ok,right_upper,Grind setting and duration supplied by user after the initial transcription.
35,cafe_intencion_espresso_intensivo,3E,3,E,9.4,18.19,TO_TARGET,18.0,39,37.0,ok,right_upper,Grind setting and duration supplied by user after the initial transcription.
36,cafe_intencion_espresso_intensivo,3E,3,E,9.4,18.36,TO_TARGET,18.0,42,,partial,right_upper,Grind setting and duration supplied by user after the initial transcription; final yield is not recorded.
37,cafe_intencion_espresso_intensivo,3D,3,D,9.4,16.9,TO_TARGET,18.0,,,partial,right_upper,Grind setting corrected by user after the initial transcription; brew duration and final yield are not recorded. User confirmed on 2026-09-14: setting is 3D rather than 3E.
38,cafe_intencion_espresso_intensivo,3D,3,D,9.5,17.9,TO_TARGET,18.0,34,33.0,ok,right_upper,Grind setting supplied by user after the initial transcription. User confirmed on 2026-09-14: setting is 3D rather than 3E.
39,cafe_intencion_espresso_intensivo,3D,3,D,9.5,17.7,TO_TARGET,18.0,40,35.0,ok,right_upper,Grind setting and duration supplied by user after the initial transcription. User confirmed on 2026-09-14: setting is 3D rather than 3E.
40,rewe_bio_espresso_ganze_bohnen_1000g,3E,3,E,9.45,16.5,TO_TARGET,18.0,58,33.87,approximate,right_lower,Source explicitly marks grinder output as approximately 16.5 g.
41,rewe_bio_espresso_ganze_bohnen_1000g,3G,3,G,9.45,18.2,TO_TARGET,18.0,80,33.7,ok,right_lower,
42,rewe_bio_espresso_ganze_bohnen_1000g,3I,3,I,9.45,18.02,TO_TARGET,18.0,67,34.0,ok,right_lower,
43,rewe_bio_espresso_ganze_bohnen_1000g,4E,4,E,9.45,16.55,TO_TARGET,18.0,62,36.5,ok,right_lower,
44,rewe_bio_espresso_ganze_bohnen_1000g,4F,4,F,11.0,18.6,TO_TARGET,18.0,33,35.2,ok,right_lower,
45,rewe_bio_espresso_ganze_bohnen_1000g,5E,5,E,11.0,19.6,TO_TARGET,18.0,27,35.4,ok,right_lower,
46,rewe_bio_espresso_ganze_bohnen_1000g,5F,5,F,11.0,19.75,TO_TARGET,18.0,31,34.7,ok,right_lower,
47,rewe_bio_espresso_ganze_bohnen_1000g,5G,5,G,8.0,17.4,TO_TARGET,18.0,32,36.5,ok,right_lower,
48,rewe_bio_espresso_ganze_bohnen_1000g,5G,5,G,8.5,17.99,TO_TARGET,18.0,25,36.5,ok,right_lower,
49,rewe_bio_espresso_ganze_bohnen_1000g,5H,5,H,8.5,17.5,TO_TARGET,18.0,17,36.0,ok,right_lower,
50,rewe_bio_espresso_ganze_bohnen_1000g,5H,5,H,8.75,19.28,TO_TARGET,18.0,22,,partial,right_lower,Grind setting supplied by user after the initial transcription; final yield is not recorded.
51,rewe_bio_espresso_ganze_bohnen_1000g,4E,4,E,8.75,15.8,TO_TARGET,18.0,38,34.97,ok,right_lower,Grind duration supplied by user after the initial transcription.
